model,simulation,year,rate
M1_Poisson,793,2016,0.4842231117118054
M1_Poisson,793,2017,0.43021472392638044
M1_Poisson,793,2018,0.4000510269166985
M1_Poisson,793,2019,0.35297118082121903
M1_Poisson,793,2020,0.3420377190045754
M1_Poisson,793,2021,0.2937961902779223
M1_Poisson,793,2022,0.2693234614524584
M1_Poisson,793,2023,0.226530220044201
M1_Poisson,793,2024,0.2119304240432904
M1_Poisson,794,2010,0.6717819391532973
M1_Poisson,794,2011,0.6770627193329638
M1_Poisson,794,2012,0.6732069468381279
M1_Poisson,794,2013,0.6493402851670569
M1_Poisson,794,2014,0.6438631790744466
M1_Poisson,794,2015,0.6497130521771181
M1_Poisson,794,2016,0.6193793210999636
M1_Poisson,794,2017,0.6114519427402864
M1_Poisson,794,2018,0.6113024620487306
M1_Poisson,794,2019,0.6046926804386635
M1_Poisson,794,2020,0.5945207008146413
M1_Poisson,794,2021,0.5602685541792443
M1_Poisson,794,2022,0.5664737012099679
M1_Poisson,794,2023,0.5734121264533487
M1_Poisson,794,2024,0.5775634470590228
M1_Poisson,795,2010,0.5046413049310512
M1_Poisson,795,2011,0.5089844059210005
M1_Poisson,795,2012,0.5408988466127534
M1_Poisson,795,2013,0.5690040434134923
M1_Poisson,795,2014,0.5750291221010271
M1_Poisson,795,2015,0.597851840151635
M1_Poisson,795,2016,0.631075531527785
M1_Poisson,795,2017,0.6431492842535788
M1_Poisson,795,2018,0.663605051664753
M1_Poisson,795,2019,0.6962509563886763
M1_Poisson,795,2020,0.7158799241156122
M1_Poisson,795,2021,0.7465910273758717
M1_Poisson,795,2022,0.7639941365002856
M1_Poisson,795,2023,0.8011434611319304
M1_Poisson,795,2024,0.8307484030351006
M1_Poisson,796,2010,0.24386972152170416
M1_Poisson,796,2011,0.26306762711417186
M1_Poisson,796,2012,0.2495028503248044
M1_Poisson,796,2013,0.2761225792721856
M1_Poisson,796,2014,0.2756009742666525
M1_Poisson,796,2015,0.2816827252145528
M1_Poisson,796,2016,0.2770702292457244
M1_Poisson,796,2017,0.2612474437627812
M1_Poisson,796,2018,0.2788620997576221
M1_Poisson,796,2019,0.29380260137719966
M1_Poisson,796,2020,0.307722352416025
M1_Poisson,796,2021,0.29197460185281565
M1_Poisson,796,2022,0.3135481626872717
M1_Poisson,796,2023,0.3053233400595753
M1_Poisson,796,2024,0.33003625546229876
M1_Poisson,797,2010,0.30289209636744113
M1_Poisson,797,2011,0.31214543919364623
M1_Poisson,797,2012,0.3165849131645233
M1_Poisson,797,2013,0.3162907001489679
M1_Poisson,797,2014,0.2920152493910833
M1_Poisson,797,2015,0.30247986100142166
M1_Poisson,797,2016,0.287986692311691
M1_Poisson,797,2017,0.2857873210633947
M1_Poisson,797,2018,0.27222860058680953
M1_Poisson,797,2019,0.27441979086967605
M1_Poisson,797,2020,0.27982368039281336
M1_Poisson,797,2021,0.2727178099302592
M1_Poisson,797,2022,0.2668389276752217
M1_Poisson,797,2023,0.24911117517055828
M1_Poisson,797,2024,0.26450048473478516
M1_Poisson,798,2010,0.6095401620432473
M1_Poisson,798,2011,0.5910446185915195
M1_Poisson,798,2012,0.6050642980246584
M1_Poisson,798,2013,0.6067780378804001
M1_Poisson,798,2014,0.6240072011013448
M1_Poisson,798,2015,0.6433949349760439
M1_Poisson,798,2016,0.6302957841659302
M1_Poisson,798,2017,0.6653885480572598
M1_Poisson,798,2018,0.6411532083173873
M1_Poisson,798,2019,0.6534047436878346
M1_Poisson,798,2020,0.6600825800691887
