year,country,accidents,train_km,country_name,year_centered,accidents_per_million_train_km,country_id
2021,NO,24.0,48.0,Norway,4,0.5,21
2022,NO,23.0,50.6,Norway,5,0.45454545454545453,21
2023,NO,33.0,50.1,Norway,6,0.6586826347305389,21
2024,NO,28.0,52.445,Norway,7,0.5338926494422729,21
2010,PL,449.0,219.1,Poland,-7,2.0492925604746692,22
2011,PL,488.0,227.3,Poland,-6,2.14694236691597,22
2012,PL,379.0,224.0,Poland,-5,1.6919642857142858,22
2013,PL,328.0,217.0,Poland,-4,1.5115207373271888,22
2014,PL,313.0,213.4,Poland,-3,1.4667291471415183,22
2015,PL,307.0,225.0,Poland,-2,1.3644444444444443,22
2016,PL,265.0,234.3,Poland,-1,1.131028595817328,22
2017,PL,252.0,243.6,Poland,0,1.0344827586206897,22
2018,PL,275.0,257.7,Poland,1,1.0671323244082267,22
2019,PL,214.0,253.9,Poland,2,0.8428515163450178,22
2020,PL,179.0,238.9,Poland,3,0.749267475931352,22
2021,PL,209.0,262.2,Poland,4,0.7971014492753623,22
2022,PL,225.0,275.4,Poland,5,0.8169934640522877,22
2023,PL,233.0,276.5,Poland,6,0.8426763110307414,22
2024,PL,220.0,288.38100000000003,Poland,7,0.7628796626684836,22
2010,PT,42.0,40.0,Portugal,-7,1.05,23
2011,PT,27.0,37.2,Portugal,-6,0.7258064516129031,23
2012,PT,36.0,37.5,Portugal,-5,0.96,23
2013,PT,48.0,36.3,Portugal,-4,1.322314049586777,23
2014,PT,50.0,36.5,Portugal,-3,1.36986301369863,23
2015,PT,23.0,38.2,Portugal,-2,0.6020942408376962,23
2016,PT,38.0,37.1,Portugal,-1,1.0242587601078166,23
2017,PT,29.0,38.2,Portugal,0,0.7591623036649214,23
2018,PT,37.0,36.4,Portugal,1,1.0164835164835164,23
2019,PT,51.0,36.6,Portugal,2,1.3934426229508197,23
2020,PT,43.0,33.0,Portugal,3,1.303030303030303,23
2021,PT,33.0,35.7,Portugal,4,0.9243697478991596,23
2022,PT,34.0,35.6,Portugal,5,0.9550561797752809,23
2023,PT,34.0,33.6,Portugal,6,1.0119047619047619,23
2024,PT,30.0,35.001,Portugal,7,0.8571183680466273,23
2010,RO,271.0,93.5,Romania,-7,2.8983957219251337,24
2011,RO,217.0,104.2,Romania,-6,2.0825335892514394,24
2012,RO,215.0,108.5,Romania,-5,1.9815668202764978,24
2013,RO,180.0,93.3,Romania,-4,1.9292604501607717,24
2014,RO,185.0,90.5,Romania,-3,2.044198895027624,24
2015,RO,141.0,83.1,Romania,-2,1.696750902527076,24
2016,RO,184.0,85.4,Romania,-1,2.154566744730679,24
2017,RO,146.0,89.2,Romania,0,1.6367713004484303,24
2018,RO,132.0,86.1,Romania,1,1.5331010452961673,24
2019,RO,115.0,79.3,Romania,2,1.450189155107188,24
2020,RO,107.0,72.5,Romania,3,1.4758620689655173,24
2021,RO,102.0,77.4,Romania,4,1.317829457364341,24
2022,RO,115.0,81.0,Romania,5,1.4197530864197532,24
2023,RO,119.0,82.7,Romania,6,1.4389359129383312,24
2024,RO,90.0,81.907,Romania,7,1.098807183757188,24
2010,SE,69.0,141.3,Sweden,-7,0.4883227176220806,25
2011,SE,54.0,140.3,Sweden,-6,0.3848895224518888,25
2012,SE,47.0,140.4,Sweden,-5,0.33475783475783477,25
2013,SE,43.0,145.6,Sweden,-4,0.29532967032967034,25
2014,SE,53.0,148.4,Sweden,-3,0.35714285714285715,25
2015,SE,40.0,148.5,Sweden,-2,0.26936026936026936,25
2016,SE,36.0,152.7,Sweden,-1,0.2357563850687623,25
2017,SE,40.0,160.4,Sweden,0,0.24937655860349126,25
2018,SE,35.0,160.1,Sweden,1,0.21861336664584635,25
2019,SE,45.0,162.7,Sweden,2,0.2765826674861709,25
2020,SE,31.0,147.8,Sweden,3,0.20974289580514208,25
2021,SE,29.0,155.4,Sweden,4,0.1866151866151866,25
2022,SE,31.0,165.8,Sweden,5,0.18697225572979492,25
2023,SE,49.0,159.9,Sweden,6,0.30644152595372104,25
2024,SE,55.0,164.82628595395698,Sweden,7,0.33368464066079756,25
2010,SI,21.0,18.8,Slovenia,-7,1.1170212765957446,26
2011,SI,11.0,20.3,Slovenia,-6,0.541871921182266,26
2012,SI,14.0,19.9,Slovenia,-5,0.7035175879396985,26
2013,SI,13.0,20.1,Slovenia,-4,0.6467661691542288,26
2014,SI,15.0,20.5,Slovenia,-3,0.7317073170731707,26
2015,SI,14.0,21.5,Slovenia,-2,0.6511627906976745,26
2016,SI,11.0,21.3,Slovenia,-1,0.5164319248826291,26
2017,SI,11.0,22.0,Slovenia,0,0.5,26
2018,SI,14.0,20.0,Slovenia,1,0.7,26
2019,SI,10.0,20.1,Slovenia,2,0.49751243781094523,26
2020,SI,5.0,16.9,Slovenia,3,0.2958579881656805,26
2021,SI,10.0,19.8,Slovenia,4,0.5050505050505051,26
2022,SI,10.0,21.3,Slovenia,5,0.4694835680751174,26
2023,SI,17.0,21.2,Slovenia,6,0.8018867924528302,26
